Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.7381121362668559,0.504302925989673,0.7834224598930482,0.6136125654450262,0.8412978893797307
Random Forest,0.7643718949609652,0.5421686746987951,0.7219251336898396,0.6192660550458715,0.8405009170993826
Random Forest SMOTE,0.7665010645848119,0.5485961123110151,0.679144385026738,0.6069295101553166,0.8355059546875403
